"pitcher","pitcher_name"
545332,"Jake Barrett"
488748,"Ryan Buchter"
606131,"Luis Perdomo"
449104,"Jim Henderson"
592127,"John Barbato"
493200,"Seung Hwan Oh"
501817,"Tony Barnette"
543022,"Tyler Chatwood"
607231,"John Gant"
502028,"Blake Wood"
621199,"Matthew Bowman"
458537,"Cory Luebke"
628317,"Kenta Maeda"
605164,"Dylan Bundy"
596112,"Robert Stephenson"
621385,"Daniel Stumpf"
456167,"A.J. Griffin"
570666,"Luis Cessa"
606965,"Chris Devenski"
548389,"Ross Stripling"
607352,"Joe Biagini"
425426,"Chien-Ming Wang"
501936,"Matt Buschmann"
519437,"Chris Withrow"
543532,"Timothy Melville"
543017,"Colby Cervenka"
657670,"Greg Mahle"
573124,"Taylor Rogers"
571882,"Derek Law"
621295,"Nick Wittgren"
595345,"Steven Okert"
571035,"William Cuevas"
502457,"Drew Hayes"
643325,"Chad Girodo"
608032,"Carlos Estevez"
605483,"Blake Snell"
570714,"Cesar Vargas"
643297,"Cody Ege"
594760,"Aaron Blair"
501697,"Jhan Marinez"
592811,"Andrew Triggs"
572990,"Pat Light"
456124,"Erik Kratz"
621244,"Jose Berrios"
457779,"Michael Kirkman"
605242,"Michael Fulmer"
640455,"Sean Manaea"
657205,"Zac Curtis"
534947,"Tim Adleman"
543169,"Brian Flynn"
