"pitcher","pitcher_name"
612272,"Raudel Lazo"
572021,"James Pazos"
605304,"Erik Johnson"
543594,"Sean Nolin"
605218,"C.J. Edwards"
516714,"Dario Alvarez"
596331,"Nefi Ogando"
594762,"Brett Bochy"
543351,"Jay Jackson"
544725,"Leury Garcia"
493351,"Alexei Ramirez"
217096,"Barry Zito"
553872,"Jonathan Barrios"
605288,"Adrian Houser"
605347,"Jorge Lopez"
457456,"Jo-Jo Reyes"
