"batter","batter_name"
476883,"Pedro Alvarez"
570731,"Jonathan Schoop"
460099,"Nolan Reimold"
572816,"Corey Dickerson"
519306,"Steve Souza"
407822,"Jorge De La Rosa"
596112,"Robert Stephenson"
543734,"Christopher Rusin"
455104,"Chris Iannetta"
518577,"Collin Cowgill"
449107,"Mike Aviles"
408299,"Omar Infante"
502481,"Jarrod Dyson"
607385,"Tyler Collins"
544931,"Stephen Strasburg"
543045,"Adam Conley"
429780,"Chris Narveson"
501981,"Khris Davis"
543305,"Aaron Hicks"
452104,"Chase Headley"
592192,"Mark Canha"
518595,"Travis d'Arnaud"
592826,"Vincent Velasquez"
548337,"Logan Verrett"
493472,"Eric Campbell"
516782,"Starling Marte"
445055,"Jon Jay"
434538,"Francisco Liriano"
519083,"Derek Norris"
607067,"Colin Rea"
477165,"Brett Wallace"
623143,"Trevor Brown"
592662,"Robbie Ray"
430912,"Matt Cain"
434628,"Jason Hammel"
514913,"Ruben Tejada"
448802,"Jaime Garcia"
621043,"Carlos Correa"
592261,"Delino DeShields"
608577,"Nomar Mazara"
425902,"Prince Fielder"
134181,"Adrian Beltre"
519048,"Mitch Moreland"
435622,"Ian Desmond"
596059,"Rougned Odor"
462101,"Elvis Andrus"
460576,"Carlos Gomez"
488771,"Jason Castro"
592592,"Brett Nicholas"
605512,"Preston Tucker"
527054,"Julio Teheran"
548389,"Ross Stripling"
518586,"Charlie Culberson"
489365,"Josh Thole"
543376,"Caleb Joseph"
571788,"Brock Holt"
474233,"Hank Conger"
488671,"Alex Avila"
628452,"Raisel Iglesias"
572863,"Dustin Garneau"
518452,"Chad Bettis"
502028,"Blake Wood"
596143,"Luis Sardinas"
502082,"Lonnie Chisenhall"
571980,"Tyler Naquin"
605452,"Joseph Ross"
612672,"Wei-Yin Chen"
433589,"Yusmeiro Petit"
543548,"Tommy Milone"
519076,"Jimmy Nelson"
596146,"Max Kepler"
593871,"Jorge Polanco"
608665,"Kendall Graveman"
112526,"Bartolo Colon"
476451,"Jeremy Hellickson"
457789,"Jemile Weeks"
519141,"Drew Pomeranz"
502046,"Jeff Locke"
543456,"Kyle Lobstein"
518516,"Madison Bumgarner"
425844,"Zack Greinke"
593372,"Carlos Martinez"
543294,"Kyle Hendricks"
592407,"Bryan Holaday"
454560,"A.J. Ellis"
605538,"Matt Wisler"
477132,"Clayton Kershaw"
542921,"Tim Beckham"
453562,"Jake Arrieta"
605232,"Brandon Finnegan"
547379,"Roberto Perez"
543408,"Tom Koehler"
453286,"Max Scherzer"
445060,"Ricky Nolasco"
543380,"Taylor Jungmann"
502100,"Alex Presley"
519222,"Austin Romine"
543037,"Gerrit Cole"
448306,"James Shields"
543746,"Rob Scahill"
571946,"Shelby Miller"
456501,"Johnny Cueto"
621281,"Tyler Wagner"
607387,"Ryan Rua"
593643,"Hanser Alberto"
595386,"Jason Rogers"
477003,"Jon Niese"
453265,"Tony Watson"
518774,"Matt Harvey"
502032,"Bud Norris"
431148,"Scott Kazmir"
592351,"Jon Gray"
435064,"Bobby Wilson"
605400,"Aaron Nola"
425794,"Adam Wainwright"
488768,"Andrew Cashner"
517369,"Jose Pirela"
543216,"Conor Gillaspie"
446381,"Darwin Barney"
502043,"Kyle Gibson"
543859,"Michael Tonkin"
493193,"Dae-Ho Lee"
596847,"Ji-Man Choi"
523989,"Rubby De La Rosa"
571927,"Steven Matz"
571561,"Tony Cingrani"
461865,"Andrew Romine"
547957,"Hyun-Soo Kim"
502624,"Chase Anderson"
519085,"Brett Oberholtzer"
570714,"Cesar Vargas"
572033,"Josh Phegley"
461833,"Phil Hughes"
537953,"Daniel Nava"
656941,"Kyle Schwarber"
453568,"Charlie Blackmon"
460026,"Nick Hundley"
519184,"Ben Revere"
542255,"Ender Inciarte"
493343,"Hector Olivera"
493596,"Gordon Beckham"
503449,"Wily Peralta"
542979,"Keon Broxton"
501303,"Ehire Adrianza"
408307,"Carl Crawford"
500208,"Yangervis Solarte"
475115,"Tyson Ross"
475100,"Scott Van Slyke"
425783,"Shin-Soo Choo"
455139,"Robinson Chirinos"
596119,"Blake Swihart"
543510,"James McCann"
434378,"Justin Verlander"
434604,"Michael Morse"
605131,"Austin Barnes"
467055,"Pablo Sandoval"
434671,"Anibal Sanchez"
554429,"Dustin Ackley"
448605,"Justin Ruggiano"
467008,"Pedro Strop"
542454,"Danny Santana"
543776,"J.B. Shuck"
518911,"Andrew Lambo"
475479,"David Phelps"
457768,"Bryan Morris"
475247,"Ryan Flaherty"
430580,"Alfredo Simon"
444857,"Scott Feldman"
594798,"Jacob deGrom"
476589,"Adam Warren"
453646,"Carlos Villanueva"
449181,"Paulo Orlando"
450729,"Doug Fister"
608672,"Micah Johnson"
493128,"Munenori Kawasaki"
572096,"Trevor Rosenthal"
543532,"Timothy Melville"
572971,"Dallas Keuchel"
460077,"Drew Butera"
570663,"Hansel Robles"
572102,"Keyvius Sampson"
285064,"Ryan Vogelsong"
572888,"Shane Greene"
519455,"Jordan Zimmermann"
548357,"Christian Bergman"
501936,"Matt Buschmann"
572041,"A.J. Pollock"
431171,"Casey McGehee"
488912,"Tuffy Gosewisch"
518567,"Josh Collmenter"
458689,"Christopher Dominguez"
116338,"Torii Hunter"
573627,"Kennys Vargas"
457788,"Jordan Schafer"
456422,"Michael Bourn"
488726,"Michael Brantley"
425560,"Adam LaRoche"
425567,"Alex Rios"
519025,"Will Middlebrooks"
425549,"Clint Barmes"
444843,"Andre Ethier"
458913,"Eric YoungJr."
430948,"Alberto Callaspo"
506693,"Henderson Alvarez"
457727,"Cameron Maybin"
408047,"Justin Morneau"
452718,"Kyle Kendrick"
133380,"Aramis Ramirez"
346798,"Kyle Lohse"
502582,"Logan Schafer"
499864,"Luis Jimenez"
408314,"Jose Reyes"
592647,"Dalton Pompey"
581527,"Devon Travis"
453539,"Sam Fuld"
477195,"Ike Davis"
519299,"Eric Sogard"
425664,"Shane Victorino"
453329,"Clay Buchholz"
429713,"Grady Sizemore"
605125,"Cody Asche"
430935,"Cole Hamels"
501800,"Allen Craig"
572287,"Mike Zunino"
501983,"Travis Snider"
430321,"Delmon Young"
425766,"James Loney"
425784,"Rene Rivera"
430203,"David DeJesus"
150212,"Michael Cuddyer"
462564,"Dan Uggla"
489138,"Tyler Moore"
460055,"John MayberryJr."
435078,"Joaquin Arias"
516949,"Hector Sanchez"
452239,"Justin Maxwell"
543272,"Brad Hand"
456781,"Donovan Solano"
430404,"Jonny Gomes"
490063,"Matt Garza"
501255,"Rafael Ynoa"
518614,"Daniel Descalso"
449786,"Carlos Corporan"
465784,"Everth Cabrera"
518790,"Christopher Heston"
408042,"Gerald Laird"
425509,"Jhonny Peralta"
458681,"Lance Lynn"
570489,"Arismendy Alcantara"
430611,"Corey Hart"
453269,"Brennan Boesch"
628356,"Jungho Kang"
435401,"Skip Schumaker"
506997,"Tony Sanchez"
453203,"Shane Robinson"
461815,"David Murphy"
543257,"Robbie Grossman"
570560,"Carlos Sanchez"
435221,"Brandon McCarthy"
461416,"Will Venable"
572750,"Eddie Butler"
501647,"Wilin Rosario"
425496,"Cody Ross"
519295,"Jake Smolinski"
502285,"Tyler Ladendorf"
519144,"Rick Porcello"
421685,"Aaron Harang"
519068,"Efren Navarro"
488852,"Allan Dykstra"
543432,"Ryan Lavarnway"
150359,"A.J. Burnett"
543101,"Anthony DeSclafani"
502117,"Kristopher Negron"
466988,"Emilio Bonifacio"
476270,"Steven Tolleson"
463610,"Gregorio Petit"
475416,"Justin Masterson"
218596,"Tim Hudson"
628333,"Odrisamer Despaigne"
407862,"Reed Johnson"
474463,"Brett Anderson"
605177,"Andrew Chafin"
445590,"Eric Stults"
150302,"Jason Marquis"
592609,"Michael Olt"
