"batter","batter_name"
514913,"Ruben Tejada"
608379,"Michael Wacha"
572096,"Trevor Rosenthal"
461865,"Andrew Romine"
543742,"Jerry Sands"
541650,"Hernan Perez"
434628,"Jason Hammel"
502042,"Chris Archer"
543054,"Jarred Cosart"
519076,"Jimmy Nelson"
474699,"Vance Worley"
491696,"Jesus Sucre"
457787,"Danny Espinosa"
450729,"Doug Fister"
502004,"George Kontos"
451713,"Carlos Peguero"
503556,"Marwin Gonzalez"
605227,"Taylor Featherston"
489232,"Anthony Recker"
430910,"Brayan Pena"
628452,"Raisel Iglesias"
593372,"Carlos Martinez"
571561,"Tony Cingrani"
518902,"Pete Kozma"
543294,"Kyle Hendricks"
502374,"Michael McKenry"
430603,"Don Kelly"
501992,"Nate Karns"
425557,"Jeff Baker"
594987,"Casey Sadler"
502210,"Josh Reddick"
457711,"Sean O'Sullivan"
408241,"Jake Peavy"
408242,"Wil Nieves"
433589,"Yusmeiro Petit"
502009,"Mat Latos"
150029,"Jayson Werth"
572020,"James Paxton"
502481,"Jarrod Dyson"
434671,"Anibal Sanchez"
516970,"Sugar Ray Marimon"
547874,"Hisashi Iwakuma"
453307,"David Huff"
504379,"Juan Nicasio"
571527,"David Buchanan"
572888,"Shane Greene"
548357,"Christian Bergman"
592663,"J.T. Realmuto"
458582,"Reid Brignac"
518953,"David Lough"
592836,"Taijuan Walker"
493472,"Eric Campbell"
430580,"Alfredo Simon"
630111,"Yasmany Tomas"
518568,"Christian Colon"
572365,"Ryan Goins"
592178,"Kris Bryant"
475479,"David Phelps"
594940,"Daniel Muno"
595386,"Jason Rogers"
517370,"Jimmy Paredes"
456121,"Chris Denorfia"
572180,"Andrew Susac"
456701,"Homer Bailey"
592166,"Ryan Brett"
456124,"Erik Kratz"
593525,"Orlando Caxito"
571893,"Adam Liberatore"
451109,"Brett Hayes"
455755,"Chris Stewart"
571466,"Tucker Barnhart"
452655,"Denard Span"
543184,"Christian Friedrich"
607259,"Nicholas Martinez"
457760,"Daniel Dorn"
467070,"Elian Herrera"
608700,"Kevin Plawecki"
502239,"Trevor Cahill"
608365,"Addison Russell"
451596,"Yovani Gallardo"
502317,"Chris Heisey"
518653,"Jacob Elmore"
430661,"Dustin McGowan"
502211,"Michael Bolsinger"
488810,"Tony Cruz"
542883,"Dean Anna"
519071,"Reynaldo Navarro"
489365,"Josh Thole"
502205,"Grant Green"
407822,"Jorge De La Rosa"
571506,"Justin Bour"
571970,"Maxwell Muncy"
453178,"Ian Kennedy"
459431,"Michael Saunders"
518542,"Juan Centeno"
592774,"Cody Stanley"
435044,"Scott Baker"
543942,"Robert Wooten"
516910,"Carlos Frias"
543521,"Collin McHugh"
595918,"A.J. Cole"
543699,"Tanner Roark"
516809,"Junior Lake"
571771,"Enrique Hernandez"
606160,"Rafael Montero"
433584,"Roberto Hernandez"
543321,"L.J. Hoes"
501789,"Will Harris"
605894,"Severino Gonzalez"
547179,"Michael Lorenzen"
572971,"Dallas Keuchel"
452035,"Kyle Blanks"
502409,"Jonathan Diaz"
608641,"Tim Cooney"
453646,"Carlos Villanueva"
592314,"Michael Foltynewicz"
592533,"Cody Martin"
599096,"Dilson Herrera"
450351,"C.J. Wilson"
596119,"Blake Swihart"
485567,"Ezequiel Carrera"
534627,"Tyler Holt"
502327,"Hector Santiago"
542993,"Billy Burns"
542994,"Joey Butler"
500207,"Jhonatan Solano"
450308,"Jered Weaver"
467785,"Radhames Liz"
595307,"Michael Maness"
621035,"Christopher Taylor"
595978,"Austin Hedges"
542208,"Carlos Perez"
451532,"Chad Billingsley"
430897,"Nick Swisher"
502032,"Bud Norris"
544928,"Tyler Lyons"
499624,"Chris Colabello"
519301,"Sammy Solis"
592662,"Robbie Ray"
506747,"Francisco Pena"
543921,"Joseph Wieland"
424825,"Coco Crisp"
592696,"Eddie Rosario"
448674,"Douglas Bernier"
434622,"Ubaldo Jimenez"
543459,"Stephen Lombardozzi"
517369,"Jose Pirela"
605512,"Preston Tucker"
429666,"J.J. Hardy"
595025,"Zachary Walters"
543768,"Travis Shaw"
465674,"Pedro Ciriaco"
501659,"Abraham Almonte"
518468,"Michael Blazek"
476192,"Johnny Monell"
543339,"Daniel Hudson"
598265,"Jackie Bradley"
573064,"Vidal Nuno"
502188,"Jeff Samardzija"
474494,"Thomas Field"
571868,"Marc Krauss"
592789,"Noah Syndergaard"
543305,"Aaron Hicks"
519242,"Chris Sale"
500779,"Jose Quintana"
592407,"Bryan Holaday"
518452,"Chad Bettis"
595014,"Blake Treinen"
456071,"Yohan Flande"
592239,"Todd Cunningham"
596748,"Maikel Franco"
489305,"Xavier Scruggs"
452254,"Hunter Pence"
466948,"Jean Machi"
596143,"Luis Sardinas"
445213,"Brandon Kintzler"
456034,"David Price"
545338,"Nick Franklin"
541640,"Erasmo Ramirez"
611177,"Adonis Garcia"
572019,"Ben Paulsen"
607385,"Tyler Collins"
571553,"Darrell Ceciliani"
329092,"Randy Choate"
445060,"Ricky Nolasco"
467798,"Jose Tabata"
488689,"Mike Baxter"
543135,"Nathan Eovaldi"
594694,"Wilmer Difo"
543606,"Jake Odorizzi"
554234,"Williams Perez"
488681,"Brandon Barnes"
462515,"Miguel Socolovich"
460059,"Mike Pelfrey"
493159,"Tsuyoshi Wada"
476589,"Adam Warren"
448802,"Jaime Garcia"
628329,"Rusney Castillo"
592869,"Tyler Wilson"
571761,"Zachary Heathcott"
519107,"Andrew Parrino"
493128,"Munenori Kawasaki"
571735,"David Hale"
605541,"Mike Wright"
605169,"Carter Capps"
605131,"Austin Barnes"
456068,"Miguel Gonzalez"
285078,"Josh Hamilton"
519326,"Hunter Strickland"
553988,"Dixon Machado"
450203,"Charlie Morton"
543734,"Christopher Rusin"
489265,"Sergio Romo"
570632,"Jose Urena"
501245,"Alfredo Marte"
502182,"Steve Clevenger"
450172,"Edinson Volquez"
518863,"Taylor Jordan"
592665,"Addison Reed"
446225,"Ed Easley"
593643,"Hanser Alberto"
517414,"Randall Delgado"
570717,"Ramon Flores"
570649,"Yordano Ventura"
621281,"Tyler Wagner"
621962,"Ian Thomas"
572788,"Tyler Cravy"
608336,"Joey Gallo"
462136,"Marco Estrada"
285079,"R.A. Dickey"
521230,"Liam Hendriks"
451089,"Shane Peterson"
279824,"Mark Buehrle"
571665,"Daniel Fields"
543685,"Anthony Rendon"
519345,"Joseph Terdoslavich"
425543,"Josh Wilson"
621209,"Jon Moscot"
474443,"Ivan De Jesus"
446308,"Matt Wieters"
594988,"Scott Schebler"
516589,"Andre Rienzo"
605452,"Joseph Ross"
518748,"Justin Grimm"
621043,"Carlos Correa"
518771,"Mitchell Harris"
425834,"Melvin Upton Jr."
460099,"Nolan Reimold"
